dd_tau,noise_sigma,strategy,seed,threshold_val,total_bytes_mbit,recall
0.15,0.05,Binary,3,0.1,2040.5000000000002,1.0
0.15,0.05,MGL,3,0.1,2040.5000000000002,1.0
0.15,0.05,Binary,3,0.15000000000000002,561.19,0.9936708860759493
0.15,0.05,MGL,3,0.15000000000000002,983.5175000000002,0.9936708860759493
0.15,0.05,Binary,3,0.2,144.97000000000003,0.939873417721519
0.15,0.05,MGL,3,0.2,372.4775000000001,0.9841772151898734
0.15,0.05,Binary,3,0.25,40.88,0.7658227848101266
0.15,0.05,MGL,3,0.25,161.08,0.930379746835443
0.15,0.05,Binary,3,0.30000000000000004,12.46,0.4208860759493671
0.15,0.05,MGL,3,0.30000000000000004,77.62750000000001,0.740506329113924
0.15,0.05,Binary,3,0.3500000000000001,4.48,0.17721518987341772
0.15,0.05,MGL,3,0.3500000000000001,40.010000000000005,0.560126582278481
0.15,0.05,Binary,3,0.4,1.4000000000000001,0.06329113924050633
0.15,0.05,MGL,3,0.4,20.737500000000004,0.38924050632911394
0.15,0.05,Binary,3,0.45000000000000007,0.21000000000000002,0.00949367088607595
0.15,0.05,MGL,3,0.45000000000000007,9.777500000000002,0.22151898734177214
0.15,0.05,Binary,3,0.5000000000000001,0.14,0.006329113924050633
0.15,0.05,MGL,3,0.5000000000000001,5.305000000000001,0.14556962025316456
0.15,0.05,Binary,3,0.55,0.0,0.0
0.15,0.05,MGL,3,0.55,2.6225000000000005,0.0759493670886076
0.15,0.05,Binary,4,0.1,2040.4300000000003,0.9968354430379747
0.15,0.05,MGL,4,0.1,2040.4300000000003,0.9968354430379747
0.15,0.05,Binary,4,0.15000000000000002,557.2,0.9841772151898734
0.15,0.05,MGL,4,0.15000000000000002,974.69,1.0
0.15,0.05,Binary,4,0.2,141.89000000000001,0.9683544303797469
0.15,0.05,MGL,4,0.2,363.975,0.9968354430379747
0.15,0.05,Binary,4,0.25,41.160000000000004,0.7689873417721519
0.15,0.05,MGL,4,0.25,164.39750000000004,0.9430379746835443
0.15,0.05,Binary,4,0.30000000000000004,13.650000000000002,0.4873417721518987
0.15,0.05,MGL,4,0.30000000000000004,79.47250000000001,0.7753164556962026
0.15,0.05,Binary,4,0.3500000000000001,4.48,0.17721518987341772
0.15,0.05,MGL,4,0.3500000000000001,39.5825,0.5632911392405063
0.15,0.05,Binary,4,0.4,1.2600000000000002,0.05379746835443038
0.15,0.05,MGL,4,0.4,21.122500000000002,0.3924050632911392
0.15,0.05,Binary,4,0.45000000000000007,0.14,0.006329113924050633
0.15,0.05,MGL,4,0.45000000000000007,10.087500000000002,0.22468354430379747
0.15,0.05,Binary,4,0.5000000000000001,0.0,0.0
