part,param,noise_sigma,strategy,seed,threshold_val,total_bytes_mbit,recall
A,rho=0.0,0.05,Binary,1,0.3500000000000001,3.9200000000000004,0.17405063291139242
A,rho=0.0,0.05,MGL,1,0.3500000000000001,40.685,0.6392405063291139
A,rho=0.0,0.05,Binary,1,0.4,1.1900000000000002,0.05379746835443038
A,rho=0.0,0.05,MGL,1,0.4,20.8675,0.4272151898734177
A,rho=0.0,0.05,Binary,1,0.45000000000000007,0.42000000000000004,0.0189873417721519
A,rho=0.0,0.05,MGL,1,0.45000000000000007,11.592500000000001,0.2879746835443038
A,rho=0.0,0.05,Binary,1,0.5000000000000001,0.14,0.006329113924050633
A,rho=0.0,0.05,MGL,1,0.5000000000000001,5.697500000000001,0.15822784810126583
A,rho=0.0,0.05,Binary,1,0.55,0.0,0.0
A,rho=0.0,0.05,MGL,1,0.55,1.7050000000000003,0.03164556962025317
A,rho=0.0,0.05,Binary,2,0.1,2031.1900000000003,1.0
A,rho=0.0,0.05,MGL,2,0.1,2031.1900000000003,1.0
A,rho=0.0,0.05,Binary,2,0.15000000000000002,556.22,0.9968354430379747
A,rho=0.0,0.05,MGL,2,0.15000000000000002,556.22,0.9968354430379747
A,rho=0.0,0.05,Binary,2,0.2,144.27,0.9493670886075949
A,rho=0.0,0.05,MGL,2,0.2,144.27,0.9493670886075949
A,rho=0.0,0.05,Binary,2,0.25,41.580000000000005,0.7310126582278481
A,rho=0.0,0.05,MGL,2,0.25,169.03500000000003,0.9367088607594937
A,rho=0.0,0.05,Binary,2,0.30000000000000004,12.39,0.37658227848101267
A,rho=0.0,0.05,MGL,2,0.30000000000000004,82.00250000000001,0.7626582278481012
A,rho=0.0,0.05,Binary,2,0.3500000000000001,4.340000000000001,0.18354430379746836
A,rho=0.0,0.05,MGL,2,0.3500000000000001,40.44500000000001,0.5506329113924051
A,rho=0.0,0.05,Binary,2,0.4,1.12,0.05063291139240506
A,rho=0.0,0.05,MGL,2,0.4,18.832500000000003,0.3575949367088608
A,rho=0.0,0.05,Binary,2,0.45000000000000007,0.07,0.0031645569620253164
A,rho=0.0,0.05,MGL,2,0.45000000000000007,9.5225,0.19936708860759494
A,rho=0.0,0.05,Binary,2,0.5000000000000001,0.07,0.0031645569620253164
A,rho=0.0,0.05,MGL,2,0.5000000000000001,4.072500000000001,0.09177215189873418
A,rho=0.0,0.05,Binary,2,0.55,0.0,0.0
A,rho=0.0,0.05,MGL,2,0.55,1.2400000000000002,0.0189873417721519
A,rho=0.0,0.05,Binary,3,0.1,2040.5000000000002,1.0
A,rho=0.0,0.05,MGL,3,0.1,2040.5000000000002,1.0
A,rho=0.0,0.05,Binary,3,0.15000000000000002,561.19,0.9936708860759493
A,rho=0.0,0.05,MGL,3,0.15000000000000002,561.19,0.9936708860759493
A,rho=0.0,0.05,Binary,3,0.2,144.97000000000003,0.939873417721519
A,rho=0.0,0.05,MGL,3,0.2,144.97000000000003,0.939873417721519
A,rho=0.0,0.05,Binary,3,0.25,40.88,0.7658227848101266
A,rho=0.0,0.05,MGL,3,0.25,161.08,0.930379746835443
A,rho=0.0,0.05,Binary,3,0.30000000000000004,12.46,0.4208860759493671
A,rho=0.0,0.05,MGL,3,0.30000000000000004,77.62750000000001,0.740506329113924
A,rho=0.0,0.05,Binary,3,0.3500000000000001,4.48,0.17721518987341772
A,rho=0.0,0.05,MGL,3,0.3500000000000001,40.010000000000005,0.560126582278481
A,rho=0.0,0.05,Binary,3,0.4,1.4000000000000001,0.06329113924050633
A,rho=0.0,0.05,MGL,3,0.4,20.737500000000004,0.38924050632911394
A,rho=0.0,0.05,Binary,3,0.45000000000000007,0.21000000000000002,0.00949367088607595
A,rho=0.0,0.05,MGL,3,0.45000000000000007,9.777500000000002,0.22151898734177214
A,rho=0.0,0.05,Binary,3,0.5000000000000001,0.14,0.006329113924050633
A,rho=0.0,0.05,MGL,3,0.5000000000000001,5.305000000000001,0.14556962025316456
A,rho=0.0,0.05,Binary,3,0.55,0.0,0.0
A,rho=0.0,0.05,MGL,3,0.55,2.6225000000000005,0.0759493670886076
A,rho=0.0,0.05,Binary,4,0.1,2040.4300000000003,0.9968354430379747
A,rho=0.0,0.05,MGL,4,0.1,2040.4300000000003,0.9968354430379747
A,rho=0.0,0.05,Binary,4,0.15000000000000002,557.2,0.9841772151898734
A,rho=0.0,0.05,MGL,4,0.15000000000000002,557.2,0.9841772151898734
A,rho=0.0,0.05,Binary,4,0.2,141.89000000000001,0.9683544303797469
A,rho=0.0,0.05,MGL,4,0.2,141.89000000000001,0.9683544303797469
A,rho=0.0,0.05,Binary,4,0.25,41.160000000000004,0.7689873417721519
A,rho=0.0,0.05,MGL,4,0.25,164.39750000000004,0.9430379746835443
A,rho=0.0,0.05,Binary,4,0.30000000000000004,13.650000000000002,0.4873417721518987
A,rho=0.0,0.05,MGL,4,0.30000000000000004,79.47250000000001,0.7753164556962026
A,rho=0.0,0.05,Binary,4,0.3500000000000001,4.48,0.17721518987341772
A,rho=0.0,0.05,MGL,4,0.3500000000000001,39.5825,0.5632911392405063
A,rho=0.0,0.05,Binary,4,0.4,1.2600000000000002,0.05379746835443038
A,rho=0.0,0.05,MGL,4,0.4,21.122500000000002,0.3924050632911392
A,rho=0.0,0.05,Binary,4,0.45000000000000007,0.14,0.006329113924050633
A,rho=0.0,0.05,MGL,4,0.45000000000000007,10.087500000000002,0.22468354430379747
A,rho=0.0,0.05,Binary,4,0.5000000000000001,0.0,0.0
A,rho=0.0,0.05,MGL,4,0.5000000000000001,5.74,0.16139240506329114
A,rho=0.0,0.05,Binary,4,0.55,0.0,0.0
A,rho=0.0,0.05,MGL,4,0.55,2.4025000000000003,0.06645569620253164
A,rho=0.0,0.05,Binary,5,0.1,2043.8600000000001,1.0
A,rho=0.0,0.05,MGL,5,0.1,2043.8600000000001,1.0
A,rho=0.0,0.05,Binary,5,0.15000000000000002,566.0200000000001,1.0
A,rho=0.0,0.05,MGL,5,0.15000000000000002,566.0200000000001,1.0
A,rho=0.0,0.05,Binary,5,0.2,143.15,0.930379746835443
A,rho=0.0,0.05,MGL,5,0.2,143.15,0.930379746835443
A,rho=0.0,0.05,Binary,5,0.25,41.790000000000006,0.7310126582278481
A,rho=0.0,0.05,MGL,5,0.25,162.28000000000003,0.8987341772151899
A,rho=0.0,0.05,Binary,5,0.30000000000000004,12.180000000000001,0.40822784810126583
A,rho=0.0,0.05,MGL,5,0.30000000000000004,82.29,0.7816455696202531
A,rho=0.0,0.05,Binary,5,0.3500000000000001,3.6400000000000006,0.1550632911392405
A,rho=0.0,0.05,MGL,5,0.3500000000000001,39.655,0.569620253164557
A,rho=0.0,0.05,Binary,5,0.4,1.12,0.05063291139240506
A,rho=0.0,0.05,MGL,5,0.4,19.842500000000005,0.3924050632911392
A,rho=0.0,0.05,Binary,5,0.45000000000000007,0.35000000000000003,0.015822784810126583
A,rho=0.0,0.05,MGL,5,0.45000000000000007,11.190000000000001,0.25316455696202533
A,rho=0.0,0.05,Binary,5,0.5000000000000001,0.0,0.0
A,rho=0.0,0.05,MGL,5,0.5000000000000001,4.9225,0.12974683544303797
A,rho=0.0,0.05,Binary,5,0.55,0.0,0.0
A,rho=0.0,0.05,MGL,5,0.55,1.8450000000000002,0.04430379746835443
A,rho=0.0,0.05,Binary,6,0.1,2043.5800000000002,1.0
A,rho=0.0,0.05,MGL,6,0.1,2043.5800000000002,1.0
A,rho=0.0,0.05,Binary,6,0.15000000000000002,560.35,0.9873417721518988
A,rho=0.0,0.05,MGL,6,0.15000000000000002,560.35,0.9873417721518988
A,rho=0.0,0.05,Binary,6,0.2,143.08,0.930379746835443
