noise_sigma,n_persist,strategy,seed,threshold_id,threshold_val,total_bytes_mbit,recall
0.02,5,MGL,2,9,0.55,0.4725000000000001,0.0
0.02,0,Binary,3,0,0.1,1032.99,1.0
0.02,2,MGL,3,0,0.1,1032.99,1.0
0.02,3,MGL,3,0,0.1,1032.99,1.0
0.02,5,MGL,3,0,0.1,1032.99,1.0
0.02,0,Binary,3,1,0.15000000000000002,243.25000000000003,1.0
0.02,2,MGL,3,1,0.15000000000000002,243.25000000000003,1.0
0.02,3,MGL,3,1,0.15000000000000002,243.25000000000003,1.0
0.02,5,MGL,3,1,0.15000000000000002,243.25000000000003,1.0
0.02,0,Binary,3,2,0.2,70.14,1.0
0.02,2,MGL,3,2,0.2,70.14,1.0
0.02,3,MGL,3,2,0.2,70.14,1.0
0.02,5,MGL,3,2,0.2,70.14,1.0
0.02,0,Binary,3,3,0.25,23.94,0.8734177215189873
0.02,2,MGL,3,3,0.25,131.995,0.9588607594936709
0.02,3,MGL,3,3,0.25,98.81500000000001,0.9335443037974683
0.02,5,MGL,3,3,0.25,65.215,0.8860759493670886
0.02,0,Binary,3,4,0.30000000000000004,8.05,0.36075949367088606
0.02,2,MGL,3,4,0.30000000000000004,66.29,0.7563291139240507
0.02,3,MGL,3,4,0.30000000000000004,47.46000000000001,0.6487341772151899
0.02,5,MGL,3,4,0.30000000000000004,29.190000000000005,0.46835443037974683
0.02,0,Binary,3,5,0.3500000000000001,2.5200000000000005,0.11392405063291139
0.02,2,MGL,3,5,0.3500000000000001,32.25750000000001,0.5727848101265823
0.02,3,MGL,3,5,0.3500000000000001,21.897500000000004,0.4272151898734177
0.02,5,MGL,3,5,0.3500000000000001,13.0775,0.2468354430379747
0.02,0,Binary,3,6,0.4,0.6300000000000001,0.028481012658227847
0.02,2,MGL,3,6,0.4,16.202500000000004,0.3829113924050633
0.02,3,MGL,3,6,0.4,10.812500000000002,0.2689873417721519
0.02,5,MGL,3,6,0.4,6.262500000000001,0.12341772151898735
0.02,0,Binary,3,7,0.45000000000000007,0.21000000000000002,0.00949367088607595
0.02,2,MGL,3,7,0.45000000000000007,9.045000000000002,0.2974683544303797
0.02,3,MGL,3,7,0.45000000000000007,6.385000000000001,0.20253164556962025
0.02,5,MGL,3,7,0.45000000000000007,4.005000000000001,0.10126582278481013
0.02,0,Binary,3,8,0.5000000000000001,0.0,0.0
0.02,2,MGL,3,8,0.5000000000000001,5.055000000000001,0.18037974683544303
